TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
2026-08-14,2026-08-14,CM,NSE,STK,4130,INE277C01012,REGENCERAM,EQ,,,,,REGENCY CERAMICS LTD.,43.99,43.99,35.5,36.31,36.54,40.33,,36.32,,,29386,1102348.28,577,F1,1,,,,,,Cash Only,Unclassified,38.6,39.745000000000005,37.455,39.745000000000005,37.455,2.2900000000000063,6.3068025337372795,Wide,Bearish,Below CPR,False,True,1.0,60,60836.575,Lower,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,5549,INE251C01025,ABMINTLLTD,EQ,,,,,ABM INTERNATIONAL LTD,72.8,72.8,62.44,62.44,62.44,69.37,,62.44,,,23052,1554084.3,223,F1,1,,,,,,Cash Only,Unclassified,65.89333333333333,67.62,64.16666666666666,67.62,64.16666666666666,3.4533333333333474,5.5306427503737146,Wide,Bearish,Below CPR,False,True,1.0,53,14692.98,Lower,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,14771,INE924H01018,TARMAT,EQ,,,,,TARMAT LIMITED,68.5,69.65,57.44,58.7,59.22,64.68,,58.68,,,613433,38923931.9,3774,F1,1,,,,,,Cash Only,Unclassified,61.93000000000001,63.545,60.31500000000001,63.545,60.31500000000001,3.2299999999999898,5.5025553662691475,Wide,Bearish,Below CPR,False,True,1.0,60,388163.625,Outside,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,13121,INE202H01019,KERNEX,EQ,,,,,KERNEX MICROSYS(I) LTD,2225.0,2340.0,2001.0,2024.2,2046.0,2242.7,,2024.2,,,1262801,2685035097.4,90312,F1,1,,,,,,Cash Only,Unclassified,2121.733333333333,2170.5,2072.9666666666662,2170.5,2072.9666666666662,97.53333333333376,4.818364456740133,Wide,Bearish,Below CPR,False,True,1.0,60,471029633.54999995,Lower,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,764523,INE00GO01025,LEAPIND,EQ,,,,,LEAP INDIA LIMITED,165.9,167.0,143.0,144.93,146.0,159.0,,144.94,,,92916431,14589015030.18,590818,F1,1,,,,,,Cash Only,Unclassified,151.64333333333335,155.0,148.2866666666667,155.0,148.2866666666667,6.71333333333331,4.632121253938667,Wide,Bearish,Below CPR,False,True,1.0,1,14589015030.18,Unknown,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,762732,INE411F01010,KAMAHOLD,EQ,,,,,KAMA HOLDINGS LTD.,2475.0,2783.9,2435.4,2449.5,2448.2,2474.2,,2449.57,,,58635,149139902.2,5877,F1,1,,,,,,Cash Only,Unclassified,2556.266666666667,2609.65,2502.8833333333337,2609.65,2502.8833333333337,106.76666666666642,4.3587126624481085,Wide,Bearish,Below CPR,False,True,1.0,60,6176271.75,Higher,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,25634,INE122M01019,ESSARSHPNG,EQ,,,,,ESSAR SHIPPING LTD,19.48,19.94,17.24,17.49,17.49,19.56,,17.49,,,1168596,21082279.58,4541,F1,1,,,,,,Cash Only,Unclassified,18.223333333333333,18.59,17.856666666666666,18.59,17.856666666666666,0.7333333333333343,4.192872117400425,Wide,Bearish,Below CPR,False,True,1.0,60,3361906.0549999997,Lower,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,10905,INE727B01026,GENESYS,EQ,,,,,GENESYS INTL CORPN LTD,209.45,211.3,173.65,181.15,185.95,211.3,,181.08,,,1572472,297039340.35,25148,F1,1,,,,,,Cash Only,Unclassified,188.70000000000002,192.47500000000002,184.925,192.47500000000002,184.925,7.550000000000011,4.167816726469783,Wide,Bearish,Below CPR,False,True,0.9833333333333333,60,133549478.80000001,Lower,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,9158,INE794B01026,BALAJITELE,EQ,,,,,BALAJI TELEFILMS LIMITED.,100.5,104.38,91.1,92.38,91.1,92.52,,92.33,,,1505126,144533029.03,13559,F1,1,,,,,,Cash Only,Unclassified,95.95333333333333,97.74,94.16666666666667,97.74,94.16666666666667,3.5733333333333235,3.868081114238281,Wide,Bearish,Below CPR,False,True,1.0,60,12057917.32,Overlapping,False,No setup
2026-08-14,2026-08-14,CM,NSE,STK,20086,INE521J01018,CPCAP,EQ,,,,,CP CAPITAL LIMITED,139.35,142.0,125.0,126.57,126.1,140.18,,126.59,,,72907,9915632.45,1835,F1,1,,,,,,Cash Only,Unclassified,131.19,133.5,128.88,133.5,128.88,4.6200000000000045,3.6501540649443034,Wide,Bearish,Below CPR,False,True,1.0,5,11564234.19,Lower,False,No setup
