TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR
2026-08-13,2026-08-13,CM,NSE,STK,24374,INF680P01422,LIQUIDSHRI,EQ,,,,,SHRIRAM - LIQUIDSHRI,1117.08,1117.08,1117.06,1117.08,1117.08,1116.91,,1117.08,,,2129,2378231.64,12,F1,1,,,,,,Cash Only,1117.0733333333333,1117.07,1117.0766666666666,1117.0766666666666,1117.07,0.006666666666660603,0.0005967940225105277,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,758496,INF200KB1969,SBILIQETF,EQ,,,,,SBIAMC - SBILIQETF,1051.55,1051.57,1051.55,1051.57,1051.57,1051.42,,1051.57,,,52097,54783364.39,50,F1,1,,,,,,Cash Only,1051.5633333333333,1051.56,1051.5666666666666,1051.5666666666666,1051.56,0.006666666666660603,0.0006339726947954586,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,19705,INF200KA13Z8,LIQUIDSBI,EQ,,,,,SBIAMC - LIQUIDSBI,999.99,1000.01,999.99,1000.01,1000.01,999.99,,1000.01,,,14669,14669114.38,27,F1,1,,,,,,Cash Only,1000.0033333333334,1000.0,1000.0066666666669,1000.0066666666669,1000.0,0.006666666666887977,0.0006666600000887968,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,759397,INE880Y01017,SOLEX,EQ,,,,,SOLEX ENERGY LIMITED,901.0,905.45,862.0,883.75,884.1,899.55,,883.78,,,52119,45956958.05,3535,F1,1,,,,,,Cash Only,883.7333333333332,883.725,883.7416666666664,883.7416666666664,883.725,0.016666666666424135,0.0018859028759744424,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,10576,INF204KB14I2,NIFTYBEES,EQ,,,,,NIP IND ETF NIFTY BEES,278.74,278.79,277.51,278.16,278.3,278.32,,278.16,,,3640004,1012312364.87,29988,F1,1,,,,,,Cash Only,278.15333333333336,278.15,278.15666666666675,278.15666666666675,278.15,0.00666666666677429,0.002396702137896998,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,21749,INE264T01014,CAPACITE,EQ,,,,,CAPACITE INFRAPROJECT LTD,209.65,210.74,208.32,209.54,209.92,209.05,,209.47,,,127759,26775227.11,2618,F1,1,,,,,,Cash Only,209.53333333333333,209.53,209.53666666666666,209.53666666666666,209.53,0.006666666666660603,0.003181572333044098,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,13035,INE429E01023,SAFARI,EQ,,,,,SAFARI IND (INDIA) LTD,1483.6,1505.0,1479.6,1492.4,1491.0,1483.6,,1492.28,,,10860,16239730.2,1930,F1,1,,,,,,Cash Only,1492.3333333333333,1492.3,1492.3666666666666,1492.3666666666666,1492.3,0.06666666666660603,0.004467077637805282,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,11596,INE405C01035,LINCOLN,EQ,,,,,LINCOLN PHARMA LTD,597.1,646.95,591.95,619.5,621.25,592.85,,619.43,,,1060832,664236498.9,31766,F1,1,,,,,,Cash Only,619.4666666666667,619.45,619.4833333333333,619.4833333333333,619.45,0.03333333333330302,0.005380683346780148,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,15039,INE739E01017,CERA,EQ,,,,,CERA SANITARYWARE LTD,5940.0,5950.0,5900.0,5925.5,5912.0,5885.5,,5929.5,,,2841,16839261.5,844,F1,1,,,,,,Cash Only,5925.166666666667,5925.0,5925.333333333334,5925.333333333334,5925.0,0.33333333333393966,0.0056254043259461595,Narrow,Bullish,Above CPR,True,False
2026-08-13,2026-08-13,CM,NSE,STK,19438,INE926K01017,AHLEAST,EQ,,,,,ASIAN HOTELS (EAST) LTD,142.37,142.37,140.3,141.35,141.45,141.5,,141.35,,,208,29427.54,22,F1,1,,,,,,Cash Only,141.34,141.335,141.345,141.345,141.335,0.009999999999990905,0.007074637424825544,Narrow,Bullish,Above CPR,True,False
