TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-25,2026-09-25,CM,NSE,STK,3345,INE387A01021,SUNDRMFAST,EQ,,,,,SUNDRAM FASTENERS LTD,1172.0,1190.3,1167.4,1178.9,1180.0,1172.3,,1178.9,,,66426,78385943.0,10230,F1,1,,,,,,Cash Only,Unclassified,False,1178.8666666666666,1178.85,1178.8833333333332,1178.8833333333332,1178.85,0.03333333333330302,0.002827494557070406,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,136412701.575,Inside,True,Risk Off,True,45.09999999999999,1140.258,1009.1614999999999,0.0007390983000732378,0.5746234924971649,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,21399,INE335W01016,GANGESSECU,EQ,,,,,GANGES SECURITIES LIMITED,112.22,116.99,112.22,114.61,114.6,112.1,,114.61,,,834,95382.73,13,F1,1,,,,,,Cash Only,Unclassified,False,114.60666666666667,114.60499999999999,114.60833333333335,114.60833333333335,114.60499999999999,0.0033333333333587234,0.0029084140418451474,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,174839.555,Higher,True,Risk Off,True,4.244285714285715,117.4134,119.823,0.0007853696847361515,0.5455443420683609,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,16123,INE316L01019,BHARATWIRE,EQ,,,,,BHARAT WIRE ROPES LTD.,166.0,166.91,163.0,164.97,164.15,165.34,,165.02,,,106706,17621089.89,2565,F1,1,,,,,,Cash Only,Unclassified,False,164.96,164.95499999999998,164.96500000000003,164.96500000000003,164.95499999999998,0.010000000000047748,0.006061708189396707,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,24678959.67,Lower,True,Risk Off,True,6.473571428571428,186.2032,201.83989999999997,0.0015447423590496357,0.7140126701297048,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,23066,INE0L9R01028,GOPAL,EQ,,,,,GOPAL SNACKS LIMITED,264.0,264.0,257.85,260.95,260.0,262.55,,260.94,,,103108,26930829.25,5370,F1,1,,,,,,Cash Only,Unclassified,False,260.93333333333334,260.925,260.94166666666666,260.94166666666666,260.925,0.01666666666665151,0.006386919588676571,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,32669163.625,Inside,True,Risk Off,True,7.621428571428567,268.149,277.7355,0.002186816619804323,0.8243501290431338,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,13404,INE424H01027,SUNTV,EQ,,,,,SUN TV NETWORK LIMITED,511.35,521.75,504.55,513.2,513.7,512.7,,513.14,,,791506,404909845.0,24825,F1,1,,,,,,Cash Only,Media Entertainment & Publication,True,513.1666666666666,513.15,513.1833333333333,513.1833333333333,513.15,0.03333333333330302,0.006495193556762083,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,119878522.725,Higher,True,Risk Off,True,19.3,480.50699999999995,499.022,0.0017271157167514516,3.377667957494427,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,15083,INE742F01042,ADANIPORTS,EQ,,,,,ADANI PORT & SEZ LTD,1791.8,1800.6,1775.0,1788.0,1788.0,1785.3,,1787.96,,,895306,1601195438.1,37063,F1,1,,,,,,F&O + Cash,Services,True,1787.8666666666668,1787.8,1787.9333333333336,1787.9333333333336,1787.8,0.13333333333366681,0.007457121551099934,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,2838951485.55,Inside,True,Risk Off,True,39.97142857142858,1726.572,1764.99,0.00333571598761854,0.5640094401929502,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,11050,INE792Z01011,SIRCA,EQ,,,,,SIRCA PAINT INDIA LIMITED,410.7,413.0,407.5,410.3,409.8,410.7,,410.29,,,119005,48818334.9,1989,F1,1,,,,,,Cash Only,Unclassified,False,410.26666666666665,410.25,410.2833333333333,410.2833333333333,410.25,0.03333333333330302,0.0081241368104565,Narrow,Bullish,Above CPR,True,False,0.06666666666666667,60,121141359.45,Lower,True,Risk Off,True,11.185714285714287,424.161,418.912,0.0029799914857359016,0.40298652022432785,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,13116,INE306L01010,QUICKHEAL,EQ,,,,,QUICK HEAL TECH LTD,146.02,148.49,145.55,147.04,147.25,147.9,,147.06,,,74851,10983170.69,1848,F1,1,,,,,,Cash Only,Unclassified,False,147.02666666666667,147.02,147.03333333333333,147.03333333333333,147.02,0.013333333333321207,0.009067827348559036,Narrow,Bullish,Above CPR,True,False,0.05,60,35330363.504999995,Lower,True,Risk Off,True,9.700714285714284,175.46140000000003,170.09419999999997,0.0013744692339775933,0.31087058270559964,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,10579,INE750C01026,MARKSANS,EQ,,,,,MARKSANS PHARMA LIMITED,337.5,341.95,331.85,336.95,337.5,337.4,,336.95,,,1452979,488966070.4,39411,F1,1,,,,,,Cash Only,Unclassified,False,336.9166666666667,336.9,336.9333333333334,336.9333333333334,336.9,0.033333333333416704,0.009892664589231846,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,529196551.975,Lower,True,Risk Off,True,14.275000000000002,303.66700000000003,273.50899999999996,0.002335084646824287,0.923978186507722,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-25,2026-09-25,CM,NSE,STK,2283,INE103A01014,MRPL,EQ,,,,,MRPL,164.45,166.39,162.76,164.6,164.7,164.49,,164.61,,,3244699,532911755.78,30500,F1,1,,,,,,Cash Only,Oil Gas & Consumable Fuels,True,164.58333333333334,164.575,164.5916666666667,164.5916666666667,164.575,0.016666666666708352,0.010125556905655135,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,1079244198.16,Lower,True,Risk Off,True,7.297142857142857,171.2706,162.9201,0.002283998955891904,0.4937823679650625,False,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
