TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-07,2026-09-07,CM,NSE,STK,23647,INE185E01021,FILATFASH,EQ,,,,,FILATEX FASHIONS LIMITED,0.19,0.19,0.17,0.18,0.18,0.18,,0.18,,,36890656,6652563.34,2702,F1,1,,,,,,Cash Only,Unclassified,False,0.18000000000000002,0.18,0.18000000000000005,0.18000000000000005,0.18,5.551115123125783e-17,3.0839528461809903e-14,Narrow,Bullish,Inside CPR,False,False,0.20833333333333334,60,12831747.675,Lower,True,Risk Off,True,0.012142857142857148,0.18280000000000002,0.2427,4.571506571985937e-15,0.5184456169568499,False,False,Watch Long,Long,50,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.52x) (4/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,1,2
2026-09-07,2026-09-07,CM,NSE,STK,1937,INE268B01013,KREBSBIO,EQ,,,,,KREBS BIOCHEMICALS & IND,55.14,57.72,54.26,55.99,55.21,55.95,,55.99,,,3613,202139.06,107,F1,1,,,,,,Cash Only,Unclassified,False,55.99,55.989999999999995,55.99000000000001,55.99000000000001,55.989999999999995,1.4210854715202004e-14,2.5381058609040908e-14,Narrow,Bullish,Inside CPR,False,False,0.016666666666666666,60,259747.445,Higher,True,Risk Off,True,2.855,55.26480000000001,57.010799999999996,4.97753229954536e-15,0.7782138530756288,True,False,Watch Long,Long,66,Confirmed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: partially aligned (1/2) (12/20); Participation: moderate (0.78x) (12/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-07,2026-09-07,CM,NSE,STK,14890,INE642Z01026,AKI,EQ,,,,,AKI INDIA LIMITED,7.94,7.94,7.94,7.94,7.94,7.22,,8.0,,,701339,5568631.66,302,F1,1,,,,,,Cash Only,Unclassified,False,7.94,7.94,7.94,7.94,7.94,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.058333333333333334,60,440142.31,Higher,True,Risk Off,False,0.4321428571428573,4.5864,4.768,0.0,12.651889021984731,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,25756,INE806A01020,VIKASECO,EQ,,,,,VIKAS ECOTECH LIMITED,1.07,1.08,1.06,1.07,1.07,1.07,,1.07,,,1477986,1581705.92,1250,F1,1,,,,,,Cash Only,Unclassified,False,1.07,1.07,1.07,1.07,1.07,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.1,60,2072538.875,Lower,True,Risk Off,False,0.029999999999999978,1.1294,1.2034,0.0,0.7631731009146933,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,27037,INE760L01018,TBZ,EQ,,,,,TRIB BHIMJI ZAVERI LTD,528.9,528.9,528.9,528.9,528.9,480.85,,528.87,,,318752,168587932.8,2227,F1,1,,,,,,Cash Only,Unclassified,False,528.9,528.9,528.9,528.9,528.9,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,345512433.075,Higher,True,Risk Off,False,30.55,274.9996,216.71959999999999,0.0,0.4879359370648315,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,5194,INE414B01021,ANTGRAPHIC,EQ,,,,,ANTARCTICA LTD,0.73,0.75,0.71,0.73,0.73,0.73,,0.73,,,207125,150993.07,204,F1,1,,,,,,Cash Only,Unclassified,False,0.73,0.73,0.73,0.73,0.73,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,104149.13,Lower,True,Risk Off,False,0.04000000000000003,0.7522,0.7908000000000002,0.0,1.4497775449492474,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,765180,INE671C01016,SUNLOC,EQ,,,,,SUNIL HEALTHCARE LTD.,79.98,79.98,79.98,79.98,79.98,79.98,,79.98,,,8,639.84,3,F1,1,,,,,,Cash Only,Unclassified,False,79.98,79.98,79.98,79.98,79.98,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.10714285714285714,14,7968.575,Lower,False,Risk Off,False,,,,,0.0802954104090129,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,764593,INE217S01014,APOORVA,EQ,,,,,APOORVA LEAS F & INV C L,25.25,25.25,25.25,25.25,25.25,25.25,,25.25,,,29,732.25,2,F1,1,,,,,,Cash Only,Unclassified,False,25.25,25.25,25.25,25.25,25.25,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.2,5,10124.51,Lower,False,Risk Off,False,,,,,0.07232448780237266,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,11351,INE347G01014,PETRONET,EQ,,,,,PETRONET LNG LIMITED,288.1,293.8,288.1,290.95,290.95,288.1,,290.95,,,1737649,505778322.35,34817,F1,1,,,,,,F&O + Cash,Oil Gas & Consumable Fuels,True,290.95000000000005,290.95000000000005,290.95000000000005,290.95000000000005,290.95000000000005,0.0,0.0,Narrow,Neutral,Below CPR,False,False,0.016666666666666666,60,506595148.125,Higher,True,Risk Off,False,5.864285714285716,281.97,279.06329999999997,0.0,0.9983876162690796,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,765553,INE0DRI01029,ESDS,EQ,,,,,ESDS SOFTWARE SOLUTION L,1090.05,1090.05,1090.05,1090.05,1090.05,908.4,,1089.87,,,742653,809528902.65,11025,F1,1,,,,,,Cash Only,Unclassified,False,1090.05,1090.05,1090.05,1090.05,1090.05,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.5,2,6962701906.45,Higher,False,Risk Off,False,,,,,0.11626648871755965,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,764758,INE519D01015,LADDERUP,EQ,,,,,LADDERUP FINANCE LTD.,50.0,50.0,50.0,50.0,50.0,51.4,,48.1,,,16,800.0,4,F1,1,,,,,,Cash Only,Unclassified,False,50.0,50.0,50.0,50.0,50.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.125,16,3950.0,Higher,False,Risk Off,False,3.3242857142857143,,,0.0,0.20253164556962025,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,3646,INE835A01029,VARDMNPOLY,EQ,,,,,VARDHMAN POLYTEX LTD.,5.91,5.98,5.8,5.89,5.9,5.87,,5.89,,,62048,365615.1,248,F1,1,,,,,,Cash Only,Unclassified,False,5.890000000000001,5.890000000000001,5.890000000000001,5.890000000000001,5.890000000000001,0.0,0.0,Narrow,Neutral,Below CPR,False,False,0.025,60,1120936.7,Lower,True,Risk Off,False,0.2357142857142857,6.264399999999999,6.537999999999999,0.0,0.3261692654009812,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
