TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-18,2026-09-18,CM,NSE,STK,13951,INE074B01023,PARACABLES,EQ,,,,,PARAMOUNT COMM LTD,60.75,62.5,60.75,62.02,62.25,60.7,,62.02,,,1236571,76411466.64,6813,F1,1,,,,,,Cash Only,Unclassified,False,61.75666666666667,61.625,61.888333333333335,61.888333333333335,61.625,0.2633333333333354,0.4245942169192767,Moderate,Bullish,Above CPR,False,False,0.25,60,89829096.325,Higher,True,Risk On,True,3.384285714285714,64.3368,62.89,0.07781060925847819,0.8506315856005578,False,False,Long,Long,60,Mixed,CPR width: 0.4246% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.85x) (12/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,2,0,0,2
2026-09-18,2026-09-18,CM,NSE,STK,18341,INE0AE001013,VPRPL,EQ,,,,,VISHNU PRAKASH R PUNGLI L,33.78,36.0,32.9,34.72,34.71,33.35,,34.72,,,1120320,38737803.5,3603,F1,1,,,,,,Cash Only,Unclassified,False,34.54,34.45,34.629999999999995,34.629999999999995,34.45,0.1799999999999926,0.518433179723481,Moderate,Bullish,Above CPR,False,False,0.21666666666666667,60,45093605.965,Higher,True,Risk On,True,2.847142857142857,36.9662,40.2325,0.06322127446060954,0.8590531333880652,False,False,Long,Long,60,Mixed,CPR width: 0.5184% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.86x) (12/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,2,0,0,2
2026-09-18,2026-09-18,CM,NSE,STK,2658,INE245B01011,PHOENXINTL,EQ,,,,,PHOENIX INTERNATIONAL LTD,28.91,29.48,28.0,29.0,29.0,28.77,,29.4,,,1414,40805.1,38,F1,1,,,,,,Cash Only,Unclassified,False,28.826666666666668,28.740000000000002,28.913333333333334,28.913333333333334,28.740000000000002,0.173333333333332,0.5977011494252827,Moderate,Bullish,Above CPR,False,False,0.25,24,59311.485,Higher,True,Risk On,True,2.1371428571428566,,,0.08110516934046286,0.6879797395057635,False,False,Long,Long,52,Mixed,CPR width: 0.5977% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.69x) (4/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,2,0,0,2
2026-09-18,2026-09-18,CM,NSE,STK,27297,INE834M01019,RTNINDIA,EQ,,,,,RATTANINDIA ENT LIMITED,26.4,26.75,26.33,26.54,26.51,26.37,,26.54,,,1216905,32241147.61,5732,F1,1,,,,,,Cash Only,Unclassified,False,26.540000000000003,26.54,26.540000000000006,26.540000000000006,26.54,7.105427357601002e-15,2.677252207084025e-14,Narrow,Bullish,Inside CPR,False,False,0.016666666666666666,60,33030895.485,Higher,True,Risk On,True,1.0128571428571422,30.4088,32.746900000000004,7.0152315237245475e-15,0.9760906308047675,False,False,Watch Long,Long,54,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.98x) (12/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-18,2026-09-18,CM,NSE,STK,765030,INE758A01072,AVANCE,EQ,,,,,AVANCE TECHNOLOGIES LTD.,0.78,0.83,0.77,0.8,0.81,0.78,,0.8,,,2535570,2032094.89,1469,F1,1,,,,,,Cash Only,Unclassified,False,0.8000000000000002,0.8,0.8000000000000003,0.8000000000000003,0.8,2.220446049250313e-16,2.7755575615628914e-14,Narrow,Bullish,Inside CPR,False,False,0.08333333333333333,24,3281184.98,Higher,True,Risk On,True,0.0314285714285714,,,7.065055611251002e-15,0.6193173814906345,False,False,Watch Long,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.62x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-18,2026-09-18,CM,NSE,STK,2792,INE07O001026,EASEMYTRIP,EQ,,,,,EASY TRIP PLANNERS LTD,5.81,5.81,5.71,5.76,5.75,5.79,,5.76,,,13670746,78668800.82,8187,F1,1,,,,,,Cash Only,Unclassified,False,5.760000000000001,5.76,5.760000000000002,5.760000000000002,5.76,1.7763568394002505e-15,3.0839528461809903e-14,Narrow,Bullish,Inside CPR,False,False,0.08333333333333333,60,95722423.125,Lower,True,Risk On,True,0.15714285714285708,6.359400000000001,6.998100000000001,1.1304088978001598e-14,0.8218429731690935,False,False,Watch Long,Long,54,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.82x) (12/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-18,2026-09-18,CM,NSE,STK,758958,INE1VXE01018,STLNETWORK,EQ,,,,,STL NETWORKS LIMITED,42.95,42.95,42.95,42.95,42.95,40.91,,42.95,,,1250147,53693813.65,1463,F1,1,,,,,,Cash Only,Unclassified,False,42.95000000000001,42.95,42.95000000000002,42.95000000000002,42.95,1.4210854715202004e-14,3.30869725615879e-14,Narrow,Bullish,Inside CPR,False,False,0.016666666666666666,60,78832813.045,Higher,True,Risk On,True,1.8850000000000002,29.0088,24.4646,7.538914968276924e-15,0.6811099537872644,True,True,Watch Long,Long,66,Confirmed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.68x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-18,2026-09-18,CM,NSE,STK,778,INE055C01020,KEEPLEARN,EQ,,,,,DSJ KEEP LEARNING LTD,1.95,1.95,1.84,1.86,1.84,1.84,,1.86,,,16221,30305.8,79,F1,1,,,,,,Cash Only,Unclassified,False,1.8833333333333335,1.895,1.871666666666667,1.895,1.871666666666667,0.023333333333332984,1.2544802867383325,Wide,Bearish,Below CPR,False,False,0.6833333333333333,60,54490.79,Higher,True,Risk On,False,0.14714285714285705,1.8951999999999998,1.9557999999999998,0.158576051779933,0.5561637113354385,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,1,0,1
2026-09-18,2026-09-18,CM,NSE,STK,23647,INE185E01021,FILATFASH,EQ,,,,,FILATEX FASHIONS LIMITED,0.19,0.19,0.17,0.17,0.18,0.18,,0.17,,,16682906,3013503.16,2044,F1,1,,,,,,Cash Only,Unclassified,False,0.17666666666666667,0.18,0.17333333333333334,0.18,0.17333333333333334,0.006666666666666654,3.9215686274509727,Wide,Bearish,Below CPR,False,False,0.975,60,6464854.035,Lower,True,Risk On,False,0.012142857142857148,0.17919999999999997,0.2271,0.549019607843136,0.46613630310680326,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,1,1
2026-09-18,2026-09-18,CM,NSE,STK,14479,INE753U01022,DIVGIITTS,EQ,,,,,DIVGI TORQTRANSFER SYST L,1122.2,1141.7,1118.7,1130.2,1124.0,1122.2,,1130.15,,,45303,51120566.1,4352,F1,1,,,,,,Cash Only,Unclassified,False,1130.2,1130.2,1130.2,1130.2,1130.2,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,89568671.65,Higher,True,Risk On,False,73.35714285714288,1095.9740000000002,949.4235000000001,0.0,0.570741590315859,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
