TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-24,2026-09-24,CM,NSE,STK,15308,INE964H01014,SEPC,EQ,,,,,SEPC LIMITED,5.06,5.18,5.06,5.12,5.14,5.22,,5.12,,,5340821,27344571.19,3745,F1,1,,,,,,Cash Only,Unclassified,False,5.12,5.119999999999999,5.120000000000001,5.120000000000001,5.119999999999999,1.7763568394002505e-15,3.469446951953614e-14,Narrow,Bullish,Inside CPR,False,False,0.05,60,63342088.59,Lower,True,Risk Off,True,0.15642857142857158,5.7172,6.409,1.1355705822649992e-14,0.4316967090712094,False,False,Watch Long,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.43x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-24,2026-09-24,CM,NSE,STK,23647,INE185E01021,FILATFASH,EQ,,,,,FILATEX FASHIONS LIMITED,0.19,0.19,0.18,0.18,0.18,0.18,,0.18,,,47083777,8944670.33,1454,F1,1,,,,,,Cash Only,Unclassified,False,0.18333333333333335,0.185,0.1816666666666667,0.185,0.1816666666666667,0.0033333333333332993,1.851851851851833,Wide,Bearish,Below CPR,False,False,0.55,60,4769724.425000001,Higher,True,Risk Off,False,0.012142857142857141,0.17919999999999997,0.22210000000000002,0.2745098039215659,1.875301282211917,True,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend mixed; participation confirmed,0,0,1,1
2026-09-24,2026-09-24,CM,NSE,STK,778,INE055C01020,KEEPLEARN,EQ,,,,,DSJ KEEP LEARNING LTD,1.88,1.94,1.81,1.82,1.83,1.84,,1.82,,,32956,61412.8,96,F1,1,,,,,,Cash Only,Unclassified,False,1.8566666666666667,1.875,1.8383333333333334,1.875,1.8383333333333334,0.036666666666666625,2.0146520146520124,Wide,Bearish,Below CPR,False,False,0.8333333333333334,60,49681.29,Outside,True,Risk Off,False,0.1407142857142856,1.8929999999999998,1.9478,0.26057529610829094,1.2361353741015983,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,1,0,1
2026-09-24,2026-09-24,CM,NSE,STK,762909,INE997I01012,SHRIKRISH,EQ,,,,,SHRI KRISHNA DEVCON LTD.,37.0,37.0,37.0,37.0,37.0,35.45,,37.0,,,19,703.0,5,F1,1,,,,,,Cash Only,Unclassified,False,37.0,37.0,37.0,37.0,37.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.041666666666666664,60,28296.589999999997,Higher,True,Risk Off,False,2.724999999999999,38.9518,40.9708,0.0,0.024843982967558992,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,822,INE862Y01015,BANKA,EQ,,,,,BANKA BIOLOO LIMITED,76.5,76.5,76.5,76.5,76.5,76.5,,76.5,,,51,3901.5,5,F1,1,,,,,,Cash Only,Unclassified,False,76.5,76.5,76.5,76.5,76.5,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,315689.33999999997,Higher,True,Risk Off,False,3.6778571428571425,71.3252,65.31479999999999,0.0,0.012358668810293056,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,762879,INE318C01014,SAYAJIHOTL,EQ,,,,,SAYAJI HOTELS LTD.,325.0,329.0,325.0,327.0,327.0,327.0,,327.0,,,17,5574.0,4,F1,1,,,,,,Cash Only,Unclassified,False,327.0,327.0,327.0,327.0,327.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.1,60,25852.5,Higher,True,Risk Off,False,17.257142857142856,313.693,,0.0,0.21560777487670438,True,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,759062,INE0KKN01029,RHETAN,EQ,,,,,RHETAN TMT LIMITED,15.96,15.96,15.96,15.96,15.96,16.79,,15.96,,,738428,11785310.88,1138,F1,1,,,,,,Cash Only,Unclassified,False,15.96,15.96,15.96,15.96,15.96,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.08333333333333333,60,218786023.26,Lower,True,Risk Off,False,1.2892857142857144,25.0106,26.589100000000002,0.0,0.053866836210074646,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,17397,INE863B01029,PREMEXPLN,EQ,,,,,PREMIER EXPLOSIVES LTD,675.0,686.0,675.0,680.5,681.0,675.15,,680.53,,,405163,275552974.75,6661,F1,1,,,,,,Cash Only,Unclassified,False,680.5,680.5,680.5,680.5,680.5,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,171856407.65,Higher,True,Risk Off,False,8.357142857142858,664.5189999999999,666.988,0.0,1.6033907523028572,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,16908,INE486Y01013,TOUCHWOOD,EQ,,,,,TOUCHWOOD ENTERTAIN LTD.,61.78,61.78,61.78,61.78,61.78,61.85,,61.78,,,62,3830.36,3,F1,1,,,,,,Cash Only,Unclassified,False,61.78,61.78,61.78,61.78,61.78,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,52312.4,Higher,True,Risk Off,False,3.024285714285714,63.8876,67.6308,0.0,0.07322088070897148,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,20790,INE235C01036,SUMEETINDS,EQ,,,,,SUMEET IND LIMITED,11.6,11.6,11.6,11.6,11.6,11.05,,11.6,,,332514,3857162.4,116,F1,1,,,,,,Cash Only,Unclassified,False,11.6,11.6,11.6,11.6,11.6,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.13333333333333333,60,19628955.985,Higher,True,Risk Off,False,0.49357142857142844,17.006,22.980999999999998,0.0,0.19650369601661727,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,765175,INE886B01012,SUMEDHA,EQ,,,,,SUMEDHA FISCAL SERVICES L,43.5,43.5,43.5,43.5,43.5,44.08,,44.09,,,602,26187.0,5,F1,1,,,,,,Cash Only,Unclassified,False,43.5,43.5,43.5,43.5,43.5,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.03571428571428571,28,71102.375,Lower,True,Risk Off,False,2.8500000000000005,,,0.0,0.36829993372232644,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,756090,INE0OC301013,TURTLEMINT,EQ,,,,,TURTLEMINT FINTECH SOLS L,109.04,109.04,109.04,109.04,109.04,136.3,,109.04,,,1011837,110330706.48,6104,F1,1,,,,,,Cash Only,Unclassified,False,109.04,109.04,109.04,109.04,109.04,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,115513779.36,Lower,True,Risk Off,False,8.43,133.884,,0.0,0.9551302631710552,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,762797,INE085D01033,METROGLOBL,EQ,,,,,METROGLOBAL LTD.,128.4,128.4,128.4,128.4,128.4,130.38,,124.4,,,200,25680.0,12,F1,1,,,,,,Cash Only,Unclassified,False,128.4,128.4,128.4,128.4,128.4,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,194284.53,Lower,True,Risk Off,False,6.245714285714287,135.6332,132.7802,0.0,0.1321772762864856,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
