TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR
2026-08-14,2026-08-14,CM,NSE,STK,757946,INF174KA1WT6,QUALITY30,EQ,,,,,KOTAKMAMC - QUALITY30,21.28,21.3,21.24,21.27,21.29,21.25,,21.27,,,7428,157991.63,21,F1,1,,,,,,Cash Only,21.27,21.27,21.27,21.27,21.27,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,758904,INF1J2R01114,AONEGOLD,EQ,,,,,AONEAMC - AONEGOLD,14.2,14.2,14.0,14.1,14.11,14.19,,14.1,,,172867,2428621.95,1073,F1,1,,,,,,Cash Only,14.1,14.1,14.1,14.1,14.1,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,757669,INF247L01FR8,MOALPHA50,EQ,,,,,MOTILALAMC - MOALPHA50,56.3,56.3,56.0,56.15,56.15,56.15,,56.15,,,2766,155287.03,40,F1,1,,,,,,Cash Only,56.15,56.15,56.15,56.15,56.15,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,18727,INE885F01015,MASKINVEST,EQ,,,,,MASK INVESTMENTS LIMITED,148.13,148.13,148.13,148.13,148.13,147.4,,148.13,,,1,148.13,1,F1,1,,,,,,Cash Only,148.13,148.13,148.13,148.13,148.13,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,9931,INE161L01027,VIKASLIFE,EQ,,,,,VIKAS LIFECARE LIMITED,1.26,1.26,1.24,1.25,1.24,1.25,,1.25,,,2450513,3071540.77,8700,F1,1,,,,,,Cash Only,1.25,1.25,1.25,1.25,1.25,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,21794,INE179G01029,DAVANGERE,EQ,,,,,DAVANGERE SUGAR COMPANY L,3.0,3.03,2.99,3.01,3.02,2.98,,3.01,,,2489864,7482671.06,1430,F1,1,,,,,,Cash Only,3.01,3.01,3.01,3.01,3.01,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,19218,INE0JWS01017,VALIANTLAB,EQ,,,,,VALIANT LABORATORIES LTD,82.41,82.41,82.41,82.41,82.41,78.49,,82.52,,,41064,3384084.24,43,F1,1,,,,,,Cash Only,82.41,82.41,82.41,82.41,82.41,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,762807,INE166R01015,NATIONSTD,EQ,,,,,NATIONAL STAND (INDIA) L,148.47,148.47,148.47,148.47,148.47,156.28,,148.47,,,1513,224635.11,133,F1,1,,,,,,Cash Only,148.47,148.47,148.47,148.47,148.47,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,25643,INE0Q3J01015,KRN,EQ,,,,,KRN HEAT EXCHANGE N REF L,1468.3,1468.3,1468.3,1468.3,1468.3,1398.4,,1468.6,,,407590,598464397.0,2028,F1,1,,,,,,Cash Only,1468.3,1468.3,1468.3,1468.3,1468.3,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,25907,INE377N01017,WAAREEENER,EQ,,,,,WAAREE ENERGIES LIMITED,2703.9,2703.9,2660.1,2682.0,2682.0,2687.0,,2681.92,,,372863,997121794.5,27195,F1,1,,,,,,F&O + Cash,2682.0,2682.0,2682.0,2682.0,2682.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,220,INE022Q01020,IEX,EQ,,,,,INDIAN ENERGY EXC LTD,125.5,125.5,124.0,124.75,124.75,125.5,,124.74,,,1246737,155200525.85,18026,F1,1,,,,,,F&O + Cash,124.75,124.75,124.75,124.75,124.75,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,14518,INF209KB18T9,ABSLLIQUID,EQ,,,,,BIRLASLAMC - ABSLLIQUID,999.99,1000.01,999.99,1000.0,1000.0,1000.0,,1000.0,,,7248,7248009.82,32,F1,1,,,,,,Cash Only,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,762879,INE318C01014,SAYAJIHOTL,EQ,,,,,SAYAJI HOTELS LTD.,327.0,327.0,327.0,327.0,327.0,325.0,,325.0,,,2,654.0,1,F1,1,,,,,,Cash Only,327.0,327.0,327.0,327.0,327.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,762812,INE605D01012,NEAGI,EQ,,,,,NEELAMALAI AGRO INDS. L,3139.0,3139.0,3139.0,3139.0,3139.0,3138.4,,3067.0,,,18,56502.0,6,F1,1,,,,,,Cash Only,3139.0,3139.0,3139.0,3139.0,3139.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,21986,INF0QA701714,BANKBETF,EQ,,,,,BFAM - BANKBETF,58.65,58.75,58.33,58.54,58.64,58.65,,58.54,,,2558,149749.84,125,F1,1,,,,,,Cash Only,58.54,58.54,58.54,58.54,58.54,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,23915,INF0QA701854,LIQUIDBETF,EQ,,,,,BFAM - LIQUIDBETF,1094.77,1094.79,1094.77,1094.78,1094.78,1094.34,,1094.78,,,209412,229260126.7,167,F1,1,,,,,,Cash Only,1094.78,1094.78,1094.78,1094.78,1094.78,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,24404,INF209KC1134,ABGSEC,EQ,,,,,BIRLASLAMC - ABGSEC,115.49,115.49,115.49,115.49,115.49,115.14,,115.49,,,23,2656.27,4,F1,1,,,,,,Cash Only,115.49,115.49,115.49,115.49,115.49,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,758496,INF200KB1969,SBILIQETF,EQ,,,,,SBIAMC - SBILIQETF,1051.97,1051.99,1051.97,1051.98,1051.99,1051.57,,1051.98,,,197353,207612101.89,118,F1,1,,,,,,Cash Only,1051.98,1051.98,1051.98,1051.98,1051.98,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,19705,INF200KA13Z8,LIQUIDSBI,EQ,,,,,SBIAMC - LIQUIDSBI,999.99,1000.01,999.99,1000.0,1000.01,1000.01,,1000.0,,,2803,2802995.94,17,F1,1,,,,,,Cash Only,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,25608,INE337M01021,INDOTHAI,EQ,,,,,INDO THAI SEC LTD,77.08,77.08,77.08,77.08,77.08,81.13,,77.04,,,54315,4186600.2,451,F1,1,,,,,,Cash Only,77.08,77.08,77.08,77.08,77.08,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,22739,INF247L01AP3,MON100,EQ,,,,,MOTILAL OS NASDAQ100 ETF,332.6,332.6,332.6,332.6,332.6,330.55,,332.6,,,127466,42395191.6,989,F1,1,,,,,,Cash Only,332.6,332.6,332.6,332.6,332.6,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,7422,INF247L01AU3,MONQ50,EQ,,,,,MOTILALAMC - MONQ50,150.15,150.15,150.15,150.15,150.15,148.63,,150.15,,,27732,4163959.8,158,F1,1,,,,,,Cash Only,150.15,150.15,150.15,150.15,150.15,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
