TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-03,2026-09-03,CM,NSE,STK,762812,INE605D01012,NEAGI,EQ,,,,,NEELAMALAI AGRO INDS. L,3370.1,3370.1,3370.1,3370.1,3370.1,3370.1,,3370.0,,,1,3370.1,1,F1,1,,,,,,Cash Only,Unclassified,False,3370.1,3370.1,3370.1,3370.1,3370.1,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.15833333333333333,60,57230.55,Lower,True,Risk On,False,124.82857142857142,3191.1620000000003,,0.0,0.0588863814868108,True,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,14890,INE642Z01026,AKI,EQ,,,,,AKI INDIA LIMITED,6.57,6.57,6.57,6.57,6.57,5.48,,6.57,,,1291990,8488374.3,444,F1,1,,,,,,Cash Only,Unclassified,False,6.57,6.57,6.57,6.57,6.57,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.041666666666666664,60,428395.365,Higher,True,Risk On,False,0.37142857142857155,4.4724,4.7193000000000005,0.0,19.814346730852236,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,11630,INE733E01010,NTPC,EQ,,,,,NTPC LTD,330.45,332.7,329.1,330.9,330.9,330.0,,330.77,,,8100926,2679622985.0,123522,F1,1,,,,,,Cash Only,Power,True,330.9,330.9,330.9,330.9,330.9,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,3186474385.25,Higher,True,Risk On,False,5.825000000000009,343.98,363.51599999999996,0.0,0.8409366155283767,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,762670,INE507F01023,EMPOWER,EQ,,,,,EMPOWER INDIA LTD.,1.82,1.82,1.82,1.82,1.82,1.91,,1.82,,,4402278,8012145.96,1596,F1,1,,,,,,Cash Only,Unclassified,False,1.82,1.82,1.82,1.82,1.82,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.20454545454545456,22,7571311.33,Lower,True,Risk On,False,0.12642857142857142,,,0.0,1.0582243432855905,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,762663,INE669R01026,ELITECON,EQ,,,,,ELITECON INTERNATIONAL L,9.13,9.13,9.13,9.13,9.13,9.61,,9.13,,,616110,5625084.3,2687,F1,1,,,,,,Cash Only,Unclassified,False,9.13,9.13,9.13,9.13,9.13,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.03333333333333333,60,37509523.545,Lower,True,Risk On,False,0.9592857142857143,17.9586,,0.0,0.14996416292122752,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,20372,INE00Y201027,FLAIR,EQ,,,,,FLAIR WRITING INDUST LTD,247.3,249.8,246.42,248.11,248.99,247.14,,248.11,,,38078,9440922.83,704,F1,1,,,,,,Cash Only,Unclassified,False,248.11,248.11,248.11,248.11,248.11,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,25245041.45,Inside,True,Risk On,False,4.976428571428575,254.7646,280.9033,0.0,0.3739713736932684,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,764788,INE596B01017,MUKESHB,EQ,,,,,MUKESH BABU FINANC SER L,133.76,135.0,133.0,134.0,134.0,133.76,,134.0,,,2606,349195.0,13,F1,1,,,,,,Cash Only,Unclassified,False,134.0,134.0,134.0,134.0,134.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.16666666666666666,12,95064.29000000001,Lower,False,Risk On,False,,,,,3.6732510178112094,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,14917,INE142I01023,TAKE,EQ,,,,,TAKE LIMITED,13.17,13.17,13.17,13.17,13.17,13.86,,13.17,,,183088,2411268.96,381,F1,1,,,,,,Cash Only,Unclassified,False,13.17,13.17,13.17,13.17,13.17,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.11016949152542373,59,2587009.62,Lower,True,Risk On,False,0.9878571428571427,18.051000000000002,,0.0,0.9320680299596257,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,31468,INE142K01011,AURUS,EQ,,,,,AURUS GEM CORP LIMITED,4.55,4.69,4.55,4.62,4.66,4.64,,4.62,,,8380,38458.12,58,F1,1,,,,,,Cash Only,Unclassified,False,4.62,4.62,4.62,4.62,4.62,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.02631578947368421,38,62898.705,Inside,True,Risk On,False,0.1978571428571431,,,0.0,0.6114294403994486,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-03,2026-09-03,CM,NSE,STK,765210,INE574G01013,VASUPRADA,EQ,,,,,SHRI VASUPRADA PLANTATI L,102.0,102.0,102.0,102.0,102.0,97.2,,102.0,,,105,10710.0,3,F1,1,,,,,,Cash Only,Unclassified,False,102.0,102.0,102.0,102.0,102.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.3333333333333333,9,4725.0,Higher,False,Risk On,False,,,,,2.2666666666666666,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
