TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-15,2026-09-15,CM,NSE,STK,29075,INE0M4D01010,SETL,EQ,,,,,STANDARD ENGNG TCNLGY LTD,444.75,444.75,444.75,444.75,444.75,468.15,,444.75,,,194608,86551908.0,2127,F1,1,,,,,,Cash Only,Unclassified,False,444.75,444.75,444.75,444.75,444.75,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,310318897.65,Lower,True,Risk Off,False,21.4392857142857,317.158,241.299,0.0,0.27891278505899914,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,18119,INE559N01010,SRGHFL,EQ,,,,,SRG HOUSING FINANCE L,140.4,140.4,140.4,140.4,140.4,156.0,,138.53,,,66874,9389109.6,150,F1,1,,,,,,Cash Only,Unclassified,False,140.4,140.4,140.4,140.4,140.4,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,586801.425,Lower,True,Risk Off,False,15.07142857142857,274.187,280.81030000000004,0.0,16.00048875136934,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,11640,INE802W01023,BOHRAIND,EQ,,,,,BOHRA INDUSTRIES LIMITED,14.0,14.4,13.02,13.71,13.79,13.42,,13.71,,,21413,292968.45,55,F1,1,,,,,,Cash Only,Unclassified,False,13.71,13.71,13.71,13.71,13.71,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,225178.7,Higher,True,Risk Off,False,1.2121428571428576,13.8224,15.2718,0.0,1.3010486782275588,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,3405,INE092A01019,TATACHEM,EQ,,,,,TATA CHEMICALS LTD,734.9,734.9,734.9,734.9,734.9,612.45,,734.89,,,1823658,1340206264.2,15456,F1,1,,,,,,Cash Only,Chemicals,True,734.9,734.9,734.9,734.9,734.9,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,264530968.6,Higher,True,Risk Off,False,23.22857142857143,665.431,704.9345,0.0,5.0663492115607065,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,759062,INE0KKN01029,RHETAN,EQ,,,,,RHETAN TMT LIMITED,22.81,22.81,22.81,22.81,22.81,24.01,,22.81,,,246294,5617966.14,682,F1,1,,,,,,Cash Only,Unclassified,False,22.81,22.81,22.81,22.81,22.81,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.03333333333333333,60,230126721.925,Lower,True,Risk Off,False,1.480714285714286,26.2176,27.2793,0.0,0.02441248931460874,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,10590,INE970D01010,LOYALTEX,EQ,,,,,LOYAL TEXTILE MILLS LTD,209.0,211.0,209.0,210.0,210.0,213.83,,207.55,,,73,15331.29,12,F1,1,,,,,,Cash Only,Unclassified,False,210.0,210.0,210.0,210.0,210.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.03333333333333333,60,104248.625,Lower,True,Risk Off,False,15.755,212.3898,214.7263,0.0,0.1470646735148785,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,765361,INE0K9O01026,LALITHAA,EQ,,,,,LALITHAA JEWELLERY MART L,321.7,321.7,321.7,321.7,321.7,338.6,,321.66,,,947094,304680139.8,5286,F1,1,,,,,,Cash Only,Unclassified,False,321.7,321.7,321.7,321.7,321.7,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.0625,16,3782722763.735,Lower,False,Risk Off,False,17.68,,,0.0,0.08054519425028223,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,14917,INE142I01023,TAKE,EQ,,,,,TAKE LIMITED,18.49,18.49,18.49,18.49,18.49,17.61,,18.54,,,44031,814133.19,101,F1,1,,,,,,Cash Only,Unclassified,False,18.49,18.49,18.49,18.49,18.49,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.13333333333333333,60,4826323.49,Higher,True,Risk Off,False,0.8292857142857141,18.801199999999998,,0.0,0.16868599705072812,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,24999,INE126M01010,IBULLSLTD,EQ,,,,,INDIABULLS LIMITED,27.44,27.44,27.44,27.44,27.44,26.14,,27.44,,,2593006,71152084.64,1849,F1,1,,,,,,Cash Only,Unclassified,False,27.44,27.44,27.44,27.44,27.44,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,217944452.415,Higher,True,Risk Off,False,1.2100000000000004,22.284199999999995,16.2043,0.0,0.3264688954069609,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,11080,INE534A01028,GFSTEELS,EQ,,,,,GRAND FOUNDRY LTD,21.99,21.99,21.99,21.99,21.99,20.95,,20.76,,,6049,133017.51,12,F1,1,,,,,,Cash Only,Unclassified,False,21.99,21.99,21.99,21.99,21.99,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.6,5,54994.5,Higher,False,Risk Off,False,,,,,2.4187420560237842,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,764598,INE372M01010,ARCL,EQ,,,,,ARCL ORGANICS LTD.,262.39,262.39,262.39,262.39,262.39,249.9,,264.25,,,1510,396208.9,16,F1,1,,,,,,Cash Only,Unclassified,False,262.39,262.39,262.39,262.39,262.39,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.047619047619047616,21,80733.62,Higher,True,Risk Off,False,13.14285714285714,,,0.0,4.907607264482876,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,764603,INE032E01017,ARYAMAN,EQ,,,,,ARYAMAN FINANCIAL SERV L,632.0,632.0,632.0,632.0,632.0,635.0,,632.0,,,5,3160.0,1,F1,1,,,,,,Cash Only,Unclassified,False,632.0,632.0,632.0,632.0,632.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.09523809523809523,21,70119.9,Higher,True,Risk Off,False,20.36785714285715,,,0.0,0.04506566609478907,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-15,2026-09-15,CM,NSE,STK,762919,INE321M01017,SONAL,EQ,,,,,SONAL MERCANTILE LTD.,90.5,90.5,90.5,90.5,90.5,86.25,,90.5,,,98,8869.0,1,F1,1,,,,,,Cash Only,Unclassified,False,90.5,90.5,90.5,90.5,90.5,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.125,60,4481.09,Higher,True,Risk Off,False,3.5728571428571416,90.35220000000001,,0.0,1.9792059521232557,True,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
