SYMBOL,Industry,CLOSE,CPR_Width_Pct,Bias,Price_Position,Segment
GTL,Unclassified,7.65,2.3220350841833342e-14,Bullish,Inside CPR,Cash Only
CCHHL,Unclassified,12.41,2.8627829805000015e-14,Bullish,Inside CPR,Cash Only
ANTGRAPHIC,Unclassified,0.74,3.0006027692571804e-14,Bearish,Inside CPR,Cash Only
KRN,Unclassified,1398.4,3.2519118341423346e-14,Bullish,Inside CPR,Cash Only
SOLEX,Unclassified,883.75,0.0018859028759744,Bullish,Above CPR,Cash Only
SEAMECLTD,Unclassified,1532.3,0.0021753790597991,Bearish,Below CPR,Cash Only
MGL,Oil Gas & Consumable Fuels,1125.8,0.0029608574643189,Bearish,Below CPR,Cash Only
CAPACITE,Unclassified,209.54,0.003181572333044,Bullish,Above CPR,Cash Only
USHAMART,Capital Goods,497.35,0.0033510941322539,Bearish,Below CPR,Cash Only
SAFARI,Unclassified,1492.4,0.0044670776378052,Bullish,Above CPR,Cash Only
LINCOLN,Unclassified,619.5,0.0053806833467801,Bullish,Above CPR,Cash Only
CHEMPLASTS,Unclassified,180.39,0.0055435445423753,Bearish,Below CPR,Cash Only
CERA,Unclassified,5925.5,0.0056254043259461,Bullish,Above CPR,Cash Only
ELGIEQUIP,Capital Goods,576.55,0.0057815164917705,Bearish,Below CPR,Cash Only
AHLEAST,Unclassified,141.35,0.0070746374248255,Bullish,Above CPR,Cash Only
BIRLACORPN,Unclassified,902.05,0.0073905733236936,Bullish,Above CPR,Cash Only
GHCL,Unclassified,431.1,0.0077321580453034,Bullish,Above CPR,Cash Only
FEDDERSHOL,Unclassified,41.13,0.0081043844719919,Bullish,Above CPR,Cash Only
SIEMENS,Capital Goods,3987.0,0.0083605049744928,Bearish,Below CPR,F&O + Cash
PIRAMALFIN,Financial Services,2069.6,0.009663703131031,Bullish,Above CPR,Cash Only
