SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Applies,Timeframe
20MICRONS,20260814,190.01,193.0,182.0,190.9,117934117.81,20 MICRONS LTD,20260814,188.63333333333333,187.5,189.76666666666665,189.76666666666665,187.5,2.2666666666666515,1.1873581281648253,Wide,Bullish,Above CPR,Unclassified,False,False,0.5925925925925926,54,101760645.56,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
21STCENMGM,20260814,43.37,44.35,41.47,44.05,3324615.37,21ST CENTURY MGMT SERVICE,20260814,43.29,42.91,43.67,43.67,42.91,0.7600000000000051,1.7253121452894555,Wide,Bullish,Above CPR,Unclassified,False,False,0.3333333333333333,54,852249.3200000001,Overlapping,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
360ONE,20260814,1170.0,1191.5,1140.0,1180.0,3246943873.6,360 ONE WAM LIMITED,20260814,1170.5,1165.75,1175.25,1175.25,1165.75,9.5,0.8050847457627118,Wide,Bullish,Above CPR,Financial Services,False,False,0.48148148148148145,54,4204989162.45,Outside,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
3BBLACKBIO,20260814,1254.8,1283.0,1140.0,1174.6,64368922.400000006,3B BLACKBIO DX LTD.,20260814,1199.2,1211.5,1186.9,1211.5,1186.9,24.59999999999991,2.094329984675627,Wide,Bearish,Below CPR,Unclassified,False,True,0.7058823529411765,17,60990668.5,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
3IINFOLTD,20260814,25.75,27.8,25.14,26.93,193361865.07999998,3I INFOTECH LIMITED,20260814,26.623333333333335,26.47,26.77666666666667,26.77666666666667,26.47,0.30666666666667197,1.138754796385711,Wide,Bullish,Above CPR,Unclassified,False,False,0.5555555555555556,54,33684450.685,Higher,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
3MINDIA,20260814,36280.0,37300.0,35000.0,35340.0,1176932150.0,3M INDIA LIMITED,20260814,35880.0,36150.0,35610.0,36150.0,35610.0,540.0,1.5280135823429541,Wide,Bearish,Below CPR,Diversified,False,True,0.7962962962962963,54,635024342.5,Outside,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
3PLAND,20260814,31.5,32.9,31.47,32.18,2534389.14,3P LAND HOLDINGS LIMITED,20260814,32.18333333333334,32.185,32.18166666666667,32.185,32.18166666666667,0.0033333333333303017,0.010358400662928223,Narrow,Bearish,Below CPR,Unclassified,False,True,0.037037037037037035,54,829997.97,Inside,True,No setup,Week 17 Aug – 21 Aug 2026,Weekly
5PAISA,20260814,363.65,408.35,363.65,383.8,147790714.25,5PAISA CAPITAL LIMITED,20260814,385.26666666666665,386.0,384.5333333333333,386.0,384.5333333333333,1.466666666666697,0.3821434775056532,Moderate,Bearish,Below CPR,Unclassified,False,True,0.1111111111111111,54,82420995.5,Higher,True,No setup,Week 17 Aug – 21 Aug 2026,Weekly
63MOONS,20260814,859.0,880.0,776.0,786.25,1727702900.0,63 MOONS TECHNOLOGIES LTD,20260814,814.0833333333334,828.0,800.1666666666667,828.0,800.1666666666667,27.833333333333258,3.540010598834119,Wide,Bearish,Below CPR,Unclassified,False,True,0.8333333333333334,54,498675850.875,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
A2ZINFRA,20260814,17.2,17.38,14.58,14.72,46269149.44,A2Z INFRA ENGINEERING LTD,20260814,15.56,15.98,15.14,15.98,15.14,0.8399999999999999,5.706521739130434,Wide,Bearish,Below CPR,Unclassified,False,True,0.9375,32,16336114.440000001,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AAATECH,20260814,91.43,101.98,90.1,92.18,16253041.22,AAA TECHNOLOGIES LIMITED,20260814,94.75333333333333,96.03999999999999,93.46666666666667,96.03999999999999,93.46666666666667,2.5733333333333235,2.791639545816146,Wide,Bearish,Below CPR,Unclassified,False,True,0.8648648648648649,37,9306570.42,Higher,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AADHARHFC,20260814,503.9,510.45,495.0,498.2,831449003.9,AADHAR HOUSING FINANCE L,20260814,501.2166666666667,502.725,499.70833333333337,502.725,499.70833333333337,3.0166666666666515,0.6055131807841533,Moderate,Bearish,Below CPR,Financial Services,False,True,0.4074074074074074,54,826691131.55,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AAKASH,20260814,9.0,9.15,8.38,8.79,4699684.609999999,AAKASH EXPLORATION SER L,20260814,8.773333333333333,8.765,8.781666666666666,8.781666666666666,8.765,0.01666666666666572,0.1896094046264587,Narrow,Bullish,Above CPR,Unclassified,True,False,0.18181818181818182,33,3639598.62,Lower,True,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AARNAV,20260814,30.82,33.4,30.4,31.46,8275227.5,AARNAV FASHIONS LIMITED,20260814,31.75333333333333,31.9,31.606666666666662,31.9,31.606666666666662,0.29333333333333655,0.9324009324009427,Wide,Bearish,Below CPR,Unclassified,False,True,0.32,25,8990032.709999999,Higher,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AARON,20260814,134.0,145.0,134.0,135.46,16225747.75,AARON INDUSTRIES LIMITED,20260814,138.15333333333334,139.5,136.80666666666667,139.5,136.80666666666667,2.693333333333328,1.9882868251390284,Wide,Bearish,Below CPR,Unclassified,False,True,0.7962962962962963,54,10287831.485,Higher,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AARTIDRUGS,20260814,414.2,453.65,413.4,416.35,990977360.4000001,AARTI DRUGS LTD.,20260814,427.8,433.525,422.07500000000005,433.525,422.07500000000005,11.449999999999932,2.750090068452007,Wide,Bearish,Below CPR,Unclassified,False,True,0.9444444444444444,54,295350244.75,Higher,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AARTIIND,20260814,501.3,541.7,496.05,534.1,6662911919.85,AARTI INDUSTRIES LTD,20260814,523.9499999999999,518.875,529.0249999999999,529.0249999999999,518.875,10.149999999999864,1.9003931847968287,Wide,Bullish,Above CPR,Chemicals,False,False,0.8888888888888888,54,1443193134.5749998,Higher,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AARTIPHARM,20260814,763.0,932.6,763.0,851.2,20039029619.95,AARTI PHARMALABS LIMITED,20260814,848.9333333333334,847.8,850.0666666666668,850.0666666666668,847.8,2.266666666666879,0.2662907268170675,Moderate,Bullish,Above CPR,Unclassified,False,False,0.12962962962962962,54,598624606.9749999,Higher,True,Long,Week 17 Aug – 21 Aug 2026,Weekly
AARTISURF,20260814,528.0,677.7,500.9,658.55,394278315.55,AARTI SURFACTANTS LIMITED,20260814,612.3833333333333,589.3,635.4666666666667,635.4666666666667,589.3,46.16666666666674,7.010351023713726,Wide,Bullish,Above CPR,Unclassified,False,False,1.0,49,16853470.05,Higher,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AARVI,20260814,152.11,159.5,150.0,153.47,24967266.55,AARVI ENCON LIMITED,20260814,154.32333333333335,154.75,153.8966666666667,154.75,153.8966666666667,0.8533333333332962,0.5560261506048715,Moderate,Bearish,Below CPR,Unclassified,False,True,0.25925925925925924,54,12317003.684999999,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AASTHA,20260814,75.5,77.7,70.0,74.31,378494459.98,AASTHA SPINTEX LIMITED,20260814,74.00333333333333,73.85,74.15666666666667,74.15666666666667,73.85,0.30666666666667197,0.41268559637555097,Moderate,Bullish,Above CPR,Unclassified,False,False,0.25,4,2032595682.77,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
AAVAS,20260814,1378.3,1444.5,1365.0,1397.4,655512122.6,AAVAS FINANCIERS LIMITED,20260814,1402.3,1404.75,1399.85,1404.75,1399.85,4.900000000000091,0.3506512093888715,Moderate,Bearish,Below CPR,Financial Services,False,True,0.18518518518518517,54,1126169649.1999998,Overlapping,True,No setup,Week 17 Aug – 21 Aug 2026,Weekly
ABANSENT,20260814,26.0,30.38,26.0,30.38,1153120.31,ABANS ENTERPRISES LTD.,20260814,28.919999999999998,28.189999999999998,29.65,29.65,28.189999999999998,1.4600000000000009,4.805793285055961,Wide,Bullish,Above CPR,Unclassified,False,False,0.75,4,1322362.135,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
ABB,20260814,7639.5,7825.0,7535.0,7649.0,6665195273.5,ABB INDIA LIMITED,20260814,7669.666666666667,7680.0,7659.333333333334,7680.0,7659.333333333334,20.66666666666606,0.2701878241164343,Moderate,Bearish,Below CPR,Capital Goods,False,True,0.2037037037037037,54,7186432206.75,Higher,True,No setup,Week 17 Aug – 21 Aug 2026,Weekly
ABBOTINDIA,20260814,27950.0,28635.0,27000.0,27060.0,2135902900.0,ABBOTT INDIA LIMITED,20260814,27565.0,27817.5,27312.5,27817.5,27312.5,505.0,1.8662232076866223,Wide,Bearish,Below CPR,Healthcare,False,True,0.9814814814814815,54,1077633565.0,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
ABCAPITAL,20260814,405.0,412.85,400.55,401.0,4940778661.6,ADITYA BIRLA CAPITAL LTD.,20260814,404.8,406.70000000000005,402.9,406.70000000000005,402.9,3.800000000000068,0.9476309226932838,Wide,Bearish,Below CPR,Financial Services,False,True,0.5185185185185185,54,6946783175.625,Lower,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly
